title,genre,action,humor,romance,emotion,intensity,duration,family_friendly,dark,liked,image
Coco,Animation,3,7,4,9,3,105,1,1,1,
FightClub,Drame,6,3,2,8,7,139,0,9,0,https://image.tmdb.org/t/p/w500/hGbTleqOR52mIV33Lbm3Szj9fSY.jpg
ScaryMovie5,Comedie,3,5,1,2,3,86,0,3,0,https://image.tmdb.org/t/p/w500/vBqLLxE6GaAPhO6v9EFvFbLZ7Ap.jpg
BeautyAndTheBeast,Animation,2,6,8,8,3,84,1,1,0,
BatmanVsSuperman,Action,6,2,2,4,7,152,0,7,0,https://image.tmdb.org/t/p/w500/lr1xsc8Wz3d3SBQ0Z959miynsit.jpg
DragonballEvolution,Action,4,2,1,2,5,85,0,5,0,https://image.tmdb.org/t/p/w500/ztlqrY7VgFIFmtzVsh3TPYiXCdF.jpg
BlackPanther,Action,8,6,3,7,7,134,1,3,0,https://image.tmdb.org/t/p/w500/j0iy21769EBamGyrN6UL1mCtW9F.jpg
AfterEarth,SF,3,1,1,2,3,100,0,5,0,https://image.tmdb.org/t/p/w500/mZoKhdTw1GWrrWxhZ1S1QQsXTMd.jpg
Avatar,SF,7,3,5,8,7,162,1,3,1,https://image.tmdb.org/t/p/w500/gKY6q7SjCkAU6FqvqWybDYgUKIF.jpg
ToyStory,Animation,3,9,4,7,3,90,1,1,1,
Ratatouille,Animation,2,7,3,8,2,111,1,1,1,https://image.tmdb.org/t/p/w500/t3vaWRPSf6WjDSamIkKDs1iQWna.jpg
Titanic,Romance,2,3,9,9,4,195,1,2,1,https://image.tmdb.org/t/p/w500/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg
ThorRagnarok,Action,8,9,3,6,7,130,1,2,1,https://image.tmdb.org/t/p/w500/rzRwTcFvttcN1ZpX2xv4j3tSdJu.jpg
Encanto,Animation,2,7,5,7,2,102,1,1,1,https://image.tmdb.org/t/p/w500/4j0PNHkMr5ax3IA8tjtxcmPU3QT.jpg
LordOfTheRings,Fantasy,8,2,3,8,8,178,0,5,1,
Whiplash,Drame,5,1,1,9,7,106,0,8,1,https://image.tmdb.org/t/p/w500/7fn624j5lj3xTme2SgiLCeuedmO.jpg
Morbius,Action,4,2,1,3,4,104,0,6,1,https://image.tmdb.org/t/p/w500/Av8Z2jZhEm1FLkFzMThzz9hndJF.jpg
Titanic,Romance,2,3,9,9,4,195,1,2,1,https://image.tmdb.org/t/p/w500/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg
LionKing,Animation,3,6,5,9,4,88,1,2,0,
